iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"2,253,097,627.19"
Shares Outstanding,"18,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.23","121.31","43,598.00","5,288,873.38","5,288,873.38","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"RJF","RAYMOND JAMES INC","Equity","0.22","92.71","55,395.00","5,135,670.45","5,135,670.45","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.22","10.03","501,441.00","5,029,453.23","5,029,453.23","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.22","88.24","56,429.00","4,979,294.96","4,979,294.96","Financials","2740542","BMG0450A1053","NASDAQ"
"UNM","UNUM","Equity","0.22","50.96","97,116.00","4,949,031.36","4,949,031.36","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"VNO","VORNADO REALTY TRUST REIT TRUST","Equity","0.22","66.47","74,295.00","4,938,388.65","4,938,388.65","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.21","74.59","64,409.00","4,804,267.31","4,804,267.31","Financials","2196888","US1720621010","NASDAQ"
"ZION","ZIONS BANCORPORATION","Equity","0.21","54.97","86,202.00","4,738,523.94","4,738,523.94","Financials","2989828","US9897011071","NASDAQ"
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.21","39.93","117,659.00","4,698,123.87","4,698,123.87","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"XL","XL GROUP LTD","Equity","0.21","42.31","110,692.00","4,683,378.52","4,683,378.52","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.20","85.05","54,354.00","4,622,807.70","4,622,807.70","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
"AMG","AFFILIATED MANAGERS GROUP INC","Equity","0.20","189.36","24,090.00","4,561,682.40","4,561,682.40","Financials","2127899","US0082521081","New York Stock Exchange Inc."
"HCP","HCP REIT INC","Equity","0.19","21.64","202,253.00","4,376,754.92","4,376,754.92","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.19","240.24","17,723.00","4,257,773.52","4,257,773.52","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.19","153.79","27,490.00","4,227,687.10","4,227,687.10","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.18","85.82","49,038.00","4,208,441.16","4,208,441.16","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.18","65.55","62,383.00","4,089,205.65","4,089,205.65","Financials","2487407","US27579R1041","NASDAQ"
"NDAQ","NASDAQ INC","Equity","0.18","80.75","50,483.00","4,076,502.25","4,076,502.25","Financials","2965107","US6311031081","NASDAQ"
"SEIC","SEI INVESTMENTS","Equity","0.18","72.83","55,861.00","4,068,356.63","4,068,356.63","Financials","2793610","US7841171033","NASDAQ"
"VOYA","VOYA FINANCIAL INC","Equity","0.17","51.02","77,961.00","3,977,570.22","3,977,570.22","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","0.17","85.37","46,374.00","3,958,948.38","3,958,948.38","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"WU","WESTERN UNION","Equity","0.17","19.82","198,389.00","3,932,069.98","3,932,069.98","Information Technology","B1F76F9","US9598021098","New York Stock Exchange Inc."
