iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 28, 2018"
Total Net Assets,"1,864,132,820.73"
Shares Outstanding,"15,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.17","18.63","169,019.00","3,148,823.97","3,148,823.97","Financials","BYYHJL8","US00123Q1040","NASDAQ"
"EWBC","EAST WEST BANCORP INC","Equity","0.17","60.37","51,166.00","3,088,891.42","3,088,891.42","Financials","2487407","US27579R1041","NASDAQ"
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.16","93.57","32,766.00","3,065,914.62","3,065,914.62","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","Equity","0.16","96.45","31,546.00","3,042,611.70","3,042,611.70","Real Estate","2563125","US29472R1086","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.16","223.71","13,567.00","3,035,073.57","3,035,073.57","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"UNM","UNUM","Equity","0.16","39.07","77,361.00","3,022,494.27","3,022,494.27","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"SLG","SL GREEN REALTY REIT CORP","Equity","0.16","97.53","30,620.00","2,986,368.60","2,986,368.60","Real Estate","2096847","US78440X1019","New York Stock Exchange Inc."
"SUI","SUN COMMUNITIES REIT INC","Equity","0.16","101.54","28,685.00","2,912,674.90","2,912,674.90","Real Estate","2860257","US8666741041","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.15","61.10","46,657.00","2,850,742.70","2,850,742.70","Financials","2793610","US7841171033","NASDAQ"
"VOYA","VOYA FINANCIAL INC","Equity","0.15","49.67","56,671.00","2,814,848.57","2,814,848.57","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.15","110.97","24,900.00","2,763,153.00","2,763,153.00","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.15","79.93","34,044.00","2,721,136.92","2,721,136.92","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"AMG","AFFILIATED MANAGERS GROUP INC","Equity","0.14","136.72","18,903.00","2,584,418.16","2,584,418.16","Financials","2127899","US0082521081","New York Stock Exchange Inc."
"KRC","KILROY REALTY REIT CORP","Equity","0.14","71.69","35,622.00","2,553,741.18","2,553,741.18","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"GLPI","GAMING AND LEISURE PROPERTIES REIT","Equity","0.13","35.25","71,018.00","2,503,384.50","2,503,384.50","Real Estate","BFPK4S5","US36467J1088","NASDAQ"
"VER","VEREIT INC","Equity","0.13","7.26","343,115.00","2,491,014.90","2,491,014.90","Real Estate","BYVVTJ1","US92339V1008","New York Stock Exchange Inc."
"KIM","KIMCO REALTY REIT CORP","Equity","0.13","16.74","148,740.00","2,489,907.60","2,489,907.60","Real Estate","2491594","US49446R1095","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.13","44.82","55,420.00","2,483,924.40","2,483,924.40","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"AIV","APARTMENT INVESTMENT AND MANAGEMEN","Equity","0.13","44.13","55,647.00","2,455,702.11","2,455,702.11","Real Estate","2057059","US03748R1014","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.13","29.57","82,034.00","2,425,745.38","2,425,745.38","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"WPC","W. P. CAREY REIT INC","Equity","0.13","64.31","37,607.00","2,418,506.17","2,418,506.17","Real Estate","B826YT8","US92936U1097","New York Stock Exchange Inc."
"INVH","INVITATION HOMES INC","Equity","0.13","22.91","105,349.00","2,413,545.59","2,413,545.59","Real Estate","BD81GW9","US46187W1071","New York Stock Exchange Inc."
"FCEA","FOREST CITY REALTY REIT INC TRUST","Equity","0.13","25.09","94,541.00","2,372,033.69","2,372,033.69","Real Estate","BD8Q486","US3456051099","New York Stock Exchange Inc."
"CFR","CULLEN FROST BANKERS INC","Equity","0.13","104.44","22,624.00","2,362,850.56","2,362,850.56","Financials","2239556","US2298991090","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.13","178.49","13,209.00","2,357,674.41","2,357,674.41","Financials","B03Q9D0","US57060D1081","NASDAQ"
"PK","PARK HOTELS RESORTS INC","Equity","0.13","32.82","71,232.00","2,337,834.24","2,337,834.24","Real Estate","BYVMVV0","US7005171050","New York Stock Exchange Inc."
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.12","32.77","70,944.00","2,324,834.88","2,324,834.88","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"JLL","JONES LANG LASALLE INC","Equity","0.12","144.32","16,095.00","2,322,830.40","2,322,830.40","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"ATH","ATHENE HOLDING LTD CLASS A","Equity","0.12","51.66","44,887.00","2,318,862.42","2,318,862.42","Financials","BZ13MZ1","BMG0684D1074","New York Stock Exchange Inc."
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.12","77.80","29,748.00","2,314,394.40","2,314,394.40","Real Estate","BSPHGN6","US5128161099","NASDAQ"
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.12","22.38","100,681.00","2,253,240.78","2,253,240.78","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.12","114.84","19,595.00","2,250,289.80","2,250,289.80","Financials","B00JQL9","US82669G1040","NASDAQ"
"CONE","CYRUSONE REIT INC","Equity","0.12","63.40","35,076.00","2,223,818.40","2,223,818.40","Real Estate","B7YRLH9","US23283R1005","NASDAQ"
"CBSH","COMMERCE BANCSHARES INC","Equity","0.12","66.02","33,620.00","2,219,592.40","2,219,592.40","Financials","2213204","US2005251036","NASDAQ"
"LAZ","LAZARD LTD CLASS A","Equity","0.12","48.13","45,961.00","2,212,102.93","2,212,102.93","Financials","B081VQ7","BMG540501027","New York Stock Exchange Inc."
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.12","42.25","52,292.00","2,209,337.00","2,209,337.00","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"EV","EATON VANCE COM NON VOTING CORP","Equity","0.12","52.56","41,787.00","2,196,324.72","2,196,324.72","Financials","2301057","US2782651036","New York Stock Exchange Inc."
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.12","37.72","57,150.00","2,155,698.00","2,155,698.00","Real Estate","B1G3M58","US25960P1093","New York Stock Exchange Inc."
"NRZ","NEW RESIDENTIAL INVESTMENT REIT CO","Equity","0.11","17.82","120,130.00","2,140,716.60","2,140,716.60","Financials","BRJ9GW0","US64828T2015","New York Stock Exchange Inc."
"PBCT","PEOPLES UNITED FINANCIAL INC","Equity","0.11","17.12","123,176.00","2,108,773.12","2,108,773.12","Financials","B1W41J2","US7127041058","NASDAQ"
"MAC","MACERICH REIT","Equity","0.11","55.29","37,454.00","2,070,831.66","2,070,831.66","Real Estate","2543967","US5543821012","New York Stock Exchange Inc."
"CIT","CIT GROUP INC","Equity","0.11","51.61","40,047.00","2,066,825.67","2,066,825.67","Financials","B4Z73G0","US1255818015","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.11","47.65","43,340.00","2,065,151.00","2,065,151.00","Financials","2619772","US6952631033","NASDAQ"
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.11","51.59","39,543.00","2,040,023.37","2,040,023.37","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"STWD","STARWOOD PROPERTY TRUST REIT INC","Equity","0.11","21.52","94,572.00","2,035,189.44","2,035,189.44","Financials","B3PQ520","US85571B1052","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","0.11","107.95","18,746.00","2,023,630.70","2,023,630.70","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"LPLA","LPL FINANCIAL HOLDINGS INC","Equity","0.11","64.51","31,096.00","2,006,002.96","2,006,002.96","Financials","B75JX34","US50212V1008","NASDAQ"
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Equity","0.11","41.16","48,592.00","2,000,046.72","2,000,046.72","Real Estate","B02H871","US0248351001","New York Stock Exchange Inc."
"AMH","AMERICAN HOMES RENT REIT CLASS A","Equity","0.11","21.89","90,994.00","1,991,858.66","1,991,858.66","Real Estate","BCF5RR9","US02665T3068","New York Stock Exchange Inc."
"FHN","FIRST HORIZON NATIONAL CORP","Equity","0.11","17.26","114,719.00","1,980,049.94","1,980,049.94","Financials","2341484","US3205171057","New York Stock Exchange Inc."
"WAL","WESTERN ALLIANCE","Equity","0.11","56.89","34,573.00","1,966,857.97","1,966,857.97","Financials","B0CCGJ4","US9576381092","New York Stock Exchange Inc."
