iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 30, 2019"
Total Net Assets,"1,775,589,195.78"
Shares Outstanding,"14,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CBSH","COMMERCE BANCSHARES INC","Equity","0.11","60.43","31,914.00","1,928,563.02","1,928,563.02","Financials","2213204","US2005251036","NASDAQ"
"BPOP","POPULAR INC","Equity","0.11","57.71","33,136.00","1,912,278.56","1,912,278.56","Financials","B86QM90","PR7331747001","NASDAQ"
"CONE","CYRUSONE REIT INC","Equity","0.11","55.69","34,027.00","1,894,963.63","1,894,963.63","Real Estate","B7YRLH9","US23283R1005","NASDAQ"
"CACC","CREDIT ACCEPTANCE CORP","Equity","0.11","496.22","3,803.00","1,887,124.66","1,887,124.66","Financials","2232050","US2253101016","NASDAQ"
"CUBE","CUBESMART REIT","Equity","0.11","31.91","58,302.00","1,860,416.82","1,860,416.82","Real Estate","B6SW913","US2296631094","New York Stock Exchange Inc."
"EPR","EPR PROPERTIES REIT","Equity","0.11","78.86","23,540.00","1,856,364.40","1,856,364.40","Real Estate","B8XXZP1","US26884U1097","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","0.11","95.00","19,295.00","1,833,025.00","1,833,025.00","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"SNV","SYNOVUS FINANCIAL CORP","Equity","0.11","36.86","49,628.00","1,829,288.08","1,829,288.08","Financials","BMH4NJ8","US87161C5013","New York Stock Exchange Inc."
"KMPR","KEMPER CORP","Equity","0.11","89.88","20,110.00","1,807,486.80","1,807,486.80","Financials","B52KRV2","US4884011002","New York Stock Exchange Inc."
"AMG","AFFILIATED MANAGERS GROUP INC","Equity","0.11","110.92","16,277.00","1,805,444.84","1,805,444.84","Financials","2127899","US0082521081","New York Stock Exchange Inc."
"CIT","CIT GROUP INC","Equity","0.11","53.27","33,800.00","1,800,526.00","1,800,526.00","Financials","B4Z73G0","US1255818015","New York Stock Exchange Inc."
"ATH","ATHENE HOLDING LTD CLASS A","Equity","0.11","45.16","39,569.00","1,786,936.04","1,786,936.04","Financials","BZ13MZ1","BMG0684D1074","New York Stock Exchange Inc."
